Date,Term,Contexts,Programs,Total Matches
2015-10-02,Rand Paul,0,0,0
2015-10-02,Ted Cruz,0,0,0
2015-10-03,Ben Carson,2,2,2
2015-10-03,Carly Fiorina,0,0,0
2015-10-03,Chris Christie,4,6,10
2015-10-03,Donald Trump,6,6,8
2015-10-03,Jeb Bush,2,3,5
2015-10-03,John Kasich,0,0,0
2015-10-03,Marco Rubio,0,0,0
2015-10-03,Rand Paul,0,0,0
2015-10-03,Ted Cruz,0,0,0
2015-10-04,Ben Carson,3,3,5
2015-10-04,Carly Fiorina,4,4,7
2015-10-04,Chris Christie,4,4,8
2015-10-04,Donald Trump,16,19,71
2015-10-04,Jeb Bush,4,4,13
2015-10-04,John Kasich,2,2,3
2015-10-04,Marco Rubio,2,2,5
2015-10-04,Rand Paul,0,0,0
2015-10-04,Ted Cruz,1,1,1
2015-10-05,Ben Carson,12,15,23
2015-10-05,Carly Fiorina,12,14,22
2015-10-05,Chris Christie,3,6,9
2015-10-05,Donald Trump,30,35,98
2015-10-05,Jeb Bush,2,3,10
2015-10-05,John Kasich,1,1,1
2015-10-05,Marco Rubio,0,0,0
2015-10-05,Rand Paul,2,2,2
2015-10-05,Ted Cruz,0,0,0
2015-10-06,Ben Carson,5,5,12
2015-10-06,Carly Fiorina,0,0,0
2015-10-06,Chris Christie,3,4,7
2015-10-06,Donald Trump,17,18,38
2015-10-06,Jeb Bush,4,4,10
2015-10-06,John Kasich,1,1,1
2015-10-06,Marco Rubio,5,5,12
2015-10-06,Rand Paul,0,0,0
2015-10-06,Ted Cruz,0,0,0
2015-10-07,Ben Carson,19,20,62
2015-10-07,Carly Fiorina,2,2,2
2015-10-07,Chris Christie,1,1,1
2015-10-07,Donald Trump,23,26,43
2015-10-07,Jeb Bush,10,13,15
2015-10-07,John Kasich,3,3,7
2015-10-07,Marco Rubio,8,11,11
2015-10-07,Rand Paul,0,0,0
2015-10-07,Ted Cruz,0,0,0
2015-10-08,Ben Carson,12,13,25
2015-10-08,Carly Fiorina,0,0,0
2015-10-08,Chris Christie,3,5,8
2015-10-08,Donald Trump,19,20,48
2015-10-08,Jeb Bush,5,5,8
2015-10-08,John Kasich,2,6,9
2015-10-08,Marco Rubio,0,0,0
2015-10-08,Rand Paul,0,0,0
2015-10-08,Ted Cruz,1,1,2
2015-10-09,Ben Carson,19,20,55
2015-10-09,Carly Fiorina,0,0,0
2015-10-09,Chris Christie,4,7,11
2015-10-09,Donald Trump,15,16,39
2015-10-09,Jeb Bush,2,2,2
2015-10-09,John Kasich,2,2,3
2015-10-09,Marco Rubio,1,1,4
2015-10-09,Rand Paul,0,0,0
2015-10-09,Ted Cruz,3,3,4
2015-10-10,Ben Carson,1,1,1
2015-10-10,Carly Fiorina,1,1,1
2015-10-10,Chris Christie,2,6,9
2015-10-10,Donald Trump,5,5,10
2015-10-10,Jeb Bush,1,1,1
2015-10-10,John Kasich,0,0,0
2015-10-10,Marco Rubio,0,0,0
2015-10-10,Rand Paul,0,0,0
2015-10-10,Ted Cruz,0,0,0
2015-10-11,Ben Carson,6,6,14
2015-10-11,Carly Fiorina,4,4,5
2015-10-11,Chris Christie,2,2,2
2015-10-11,Donald Trump,14,17,39
2015-10-11,Jeb Bush,4,4,9
2015-10-11,John Kasich,1,1,1
2015-10-11,Marco Rubio,3,3,4
2015-10-11,Rand Paul,1,1,1
2015-10-11,Ted Cruz,2,2,11
2015-10-12,Ben Carson,12,13,22
2015-10-12,Carly Fiorina,2,2,2
2015-10-12,Chris Christie,1,1,1
2015-10-12,Donald Trump,24,28,50
2015-10-12,Jeb Bush,4,4,7
2015-10-12,John Kasich,2,2,2
2015-10-12,Marco Rubio,2,2,3
2015-10-12,Rand Paul,0,0,0
2015-10-12,Ted Cruz,2,2,10
2015-10-13,Ben Carson,6,6,7
2015-10-13,Carly Fiorina,3,3,7
2015-10-13,Chris Christie,6,7,9
2015-10-13,Donald Trump,30,35,78
2015-10-13,Jeb Bush,6,6,8
2015-10-13,John Kasich,1,1,1
2015-10-13,Marco Rubio,2,2,4
