Date,Term,Contexts,Programs,Total Matches
2014-11-26,Ted Cruz,1,1,1
2014-11-27,Ben Carson,1,1,1
2014-11-27,Carly Fiorina,0,0,0
2014-11-27,Chris Christie,2,2,4
2014-11-27,Donald Trump,1,1,2
2014-11-27,Jeb Bush,0,0,0
2014-11-27,John Kasich,0,0,0
2014-11-27,Marco Rubio,0,0,0
2014-11-27,Rand Paul,0,0,0
2014-11-27,Ted Cruz,0,0,0
2014-11-28,Ben Carson,0,0,0
2014-11-28,Carly Fiorina,0,0,0
2014-11-28,Chris Christie,3,5,5
2014-11-28,Donald Trump,2,3,3
2014-11-28,Jeb Bush,0,0,0
2014-11-28,John Kasich,0,0,0
2014-11-28,Marco Rubio,1,1,2
2014-11-28,Rand Paul,0,0,0
2014-11-28,Ted Cruz,0,0,0
2014-11-29,Ben Carson,0,0,0
2014-11-29,Carly Fiorina,0,0,0
2014-11-29,Chris Christie,0,0,0
2014-11-29,Donald Trump,0,0,0
2014-11-29,Jeb Bush,0,0,0
2014-11-29,John Kasich,0,0,0
2014-11-29,Marco Rubio,0,0,0
2014-11-29,Rand Paul,0,0,0
2014-11-29,Ted Cruz,0,0,0
2014-11-30,Ben Carson,1,1,4
2014-11-30,Carly Fiorina,0,0,0
2014-11-30,Chris Christie,1,1,1
2014-11-30,Donald Trump,1,1,3
2014-11-30,Jeb Bush,1,1,1
2014-11-30,John Kasich,0,0,0
2014-11-30,Marco Rubio,0,0,0
2014-11-30,Rand Paul,1,1,3
2014-11-30,Ted Cruz,2,2,7
2014-12-01,Ben Carson,1,1,4
2014-12-01,Carly Fiorina,0,0,0
2014-12-01,Chris Christie,3,3,3
2014-12-01,Donald Trump,1,1,1
2014-12-01,Jeb Bush,0,0,0
2014-12-01,John Kasich,0,0,0
2014-12-01,Marco Rubio,0,0,0
2014-12-01,Rand Paul,0,0,0
2014-12-01,Ted Cruz,1,1,5
2014-12-02,Ben Carson,0,0,0
2014-12-02,Carly Fiorina,0,0,0
2014-12-02,Chris Christie,8,19,28
2014-12-02,Donald Trump,0,0,0
2014-12-02,Jeb Bush,5,5,5
2014-12-02,John Kasich,0,0,0
2014-12-02,Marco Rubio,1,1,1
2014-12-02,Rand Paul,1,1,2
2014-12-02,Ted Cruz,0,0,0
2014-12-03,Ben Carson,0,0,0
2014-12-03,Carly Fiorina,0,0,0
2014-12-03,Chris Christie,1,1,1
2014-12-03,Donald Trump,2,2,2
2014-12-03,Jeb Bush,0,0,0
2014-12-03,John Kasich,0,0,0
2014-12-03,Marco Rubio,0,0,0
2014-12-03,Rand Paul,0,0,0
2014-12-03,Ted Cruz,2,2,2
2014-12-04,Ben Carson,0,0,0
2014-12-04,Carly Fiorina,0,0,0
2014-12-04,Chris Christie,6,8,11
2014-12-04,Donald Trump,0,0,0
2014-12-04,Jeb Bush,0,0,0
2014-12-04,John Kasich,0,0,0
2014-12-04,Marco Rubio,0,0,0
2014-12-04,Rand Paul,0,0,0
2014-12-04,Ted Cruz,0,0,0
2014-12-05,Ben Carson,0,0,0
2014-12-05,Carly Fiorina,0,0,0
2014-12-05,Chris Christie,11,15,25
2014-12-05,Donald Trump,1,1,1
2014-12-05,Jeb Bush,0,0,0
2014-12-05,John Kasich,0,0,0
2014-12-05,Marco Rubio,0,0,0
2014-12-05,Rand Paul,0,0,0
2014-12-05,Ted Cruz,2,2,2
2014-12-06,Ben Carson,0,0,0
2014-12-06,Carly Fiorina,0,0,0
2014-12-06,Chris Christie,3,5,6
2014-12-06,Donald Trump,0,0,0
2014-12-06,Jeb Bush,1,1,1
2014-12-06,John Kasich,0,0,0
2014-12-06,Marco Rubio,0,0,0
2014-12-06,Rand Paul,0,0,0
2014-12-06,Ted Cruz,0,0,0
